#id	flamsteed	bayer	con 	ra	dec	mag
767		Iot1	For	023609.3	-300241	5.75
768				023817.8	+374336	6.18
769				023827.8	+380522	6.30
770				023800.8	+074143	6.39
771	81		Cet	023741.8	-032346	5.65
772		Lam2	For	023658.6	-343442	5.79
773	32	Nu	Ari	023849.0	+215741	5.43
774				024747.6	+812654	5.78
775				023836.9	+032635	6.21
776		Mu	Hyi	023140.5	-790634	5.28
777		Iot2	For	023818.7	-301139	5.83
778		Eta	Hor	023724.4	-523235	5.31
779	82	Del	Cet	023929.0	+001943	4.07
780				023824.8	-375926	6.49
781	83	Eps	Cet	023933.8	-115220	4.84
782	33		Ari	024041.1	+270339	5.30
783				024015.7	+060643	6.25
784				024012.3	-092711	5.78
785	11		Per	024302.8	+550621	5.77
786				024002.5	-303802	6.52
787				024259.7	+533134	5.84
788	12		Per	024214.9	+401138	4.91
789				023948.0	-425330	4.75
790	84		Cet	024113.9	-004145	5.71
791				024449.7	+674929	5.95
792				024301.9	+481556	6.48
793	34	Mu	Ari	024222.0	+200042	5.69
794		Iot	Eri	024040.0	-395120	4.11
795				024148.3	-031248	6.05
796				024134.0	-143258	5.98
797				024228.9	+104430	6.30
798				023931.7	-641655	6.55
799	13	The	Per	024412.0	+491342	4.12
800	14		Per	024405.2	+441749	5.43
801	35		Ari	024327.1	+274226	4.66
802		Zet	Hor	024039.6	-543300	5.21
803				024351.2	+253817	6.35
804	86	Gam	Cet	024318.0	+031409	3.47
805				024206.6	-382302	6.01
806		Eps	Hyi	023935.4	-681601	4.11
807				024208.5	-463128	6.10
808	36		Ari	024419.1	+174550	6.46
809	37	Omi	Ari	024432.9	+151842	5.77
810		Iot	Hor	024233.5	-504801	5.41
811	89	Pi	Cet	024407.4	-135131	4.25
812	38		Ari	024457.6	+122645	5.18
813	87	Mu	Cet	024456.5	+100651	4.27
814				024320.3	-403139	6.36
815				024855.5	+693803	6.18
816				024520.9	+044242	6.03
817				024420.5	-323130	6.22
818	1	Tau1	Eri	024506.2	-183421	4.47
819				024658.3	+355901	6.25
820				024703.5	+353318	6.30
821				024410.7	-523414	6.15
822				024516.5	-461714	6.85
823				024326.6	-664252	6.26
824	39		Ari	024754.5	+291450	4.51
825				024930.8	+570503	6.25
826				024645.2	-213823	6.49
827				024711.2	-222908	6.47
828	40		Ari	024832.1	+181701	5.82
829				025158.7	+685319	5.80
830				024845.9	+251117	5.86
831				024927.1	+371934	6.45
832				024756.0	-122738	6.90
833		Gam	Hor	024527.5	-634216	5.74
834	15	Eta	Per	025041.8	+555344	3.76
835		Eta1	For	024733.7	-353303	6.51
836	42	Pi	Ari	024917.5	+172751	5.22
837		Zet	Hyi	024532.6	-673700	4.84
838	41		Ari	024959.0	+271538	3.63
839				025145.5	+581853	6.45
840	16		Per	025035.1	+381907	4.23
841		Bet	For	024905.4	-322421	4.46
842				025141.7	+465031	5.88
843	17		Per	025130.8	+350335	4.53
844		Gam1	For	024951.0	-243337	6.14
845		Gam2	For	024954.2	-275630	5.39
846				025252.0	+525952	6.36
847	43	Sig	Ari	025129.6	+150455	5.49
848		Eta2	For	025014.8	-355037	5.92
849				025321.2	+483410	6.26
850	2	Tau2	Eri	025102.3	-210015	4.75
851		Eta3	For	025040.4	-354034	5.47
852		Nu	Hor	024901.5	-624824	5.26
853				025047.9	-395554	6.36
854	18	Tau	Per	025415.5	+524545	3.95
855	20		Per	025342.6	+382015	5.33
856				025311.7	+162900	6.31
857				025232.1	-124610	6.04
858				025155.3	-304852	6.40
859				025250.5	-092628	6.32
860				025556.9	+613116	5.59
861				025624.8	+641957	6.24
862				025335.3	-222235	5.95
863		Psi	For	025334.4	-382613	5.92
864				025650.6	+511539	6.22
865				025633.4	+470950	6.02
866				025219.2	-625435	6.03
867	45	Rho2	Ari	025548.5	+181954	5.91
868				025352.9	-495325	4.0 
869	46	Rho3	Ari	025626.1	+180123	5.63
870				025613.8	+082254	5.97
871				025406.5	-505217	6.21
872		Nu	Hyi	025028.5	-750401	4.75
873	21		Per	025717.3	+315603	5.11
874	3	Eta	Eri	025625.7	-085353	3.89
875				025637.4	-034244	5.17
876				025802.3	+383654	6.04
877				025704.6	+043004	6.11
878	47		Ari	025805.2	+204007	5.80
879	22	Pi	Per	025845.7	+393946	4.70
880				025420.9	-642608	6.56
881				030607.8	+792507	5.49
882	24		Per	025903.7	+351059	4.93
883	4		Eri	025723.7	-235143	5.45
884				025713.1	-295119	6.29
885				025949.9	+471315	5.47
886				025939.9	+410159	5.89
887	48	Eps	Ari	025912.7	+212025	4.63
888	48	Eps	Ari	025912.7	+212025	4.63
889	6		Eri	025805.7	-233622	5.84
890				030052.2	+522106	5.28
891				030053.4	+522108	6.74
892				025842.0	-024657	5.23
893				025732.7	-381128	6.41
894				030011.8	+380754	6.11
895				025847.4	-094635	6.14
896	91	Lam	Cet	025942.9	+085427	4.70
897		The1	Eri	025815.7	-401817	3.24
898		The2	Eri	025816.3	-401816	4.35
899	5		Eri	025941.2	-022754	5.56
900				025906.6	-285425	6.14
901		Zet	For	025936.1	-251627	5.71
902				030044.1	+105213	5.95
903				025938.3	-323026	6.31
904	7		Eri	030051.0	-025243	6.11
905	49		Ari	030154.1	+262744	5.90
906				031142.8	+812814	5.95
907	8	Rho1	Eri	030110.0	-073946	5.75
908				030152.3	+052010	6.25
909		Bet	Hor	025847.8	-640417	4.99
910	93		Cet	030222.5	+042110	5.61
911	92	Alp	Cet	030216.8	+040523	2.53
912				030156.1	-095741	5.83
913				030209.3	-062941	6.19
914		Eps	For	030137.7	-280530	5.89
915	23	Gam	Per	030447.8	+533023	2.93
916				030330.3	+281611	6.36
917	9	Rho2	Eri	030242.3	-074107	5.32
918				030532.4	+564221	4.76
919	11	Tau3	Eri	030223.5	-233728	4.09
920				030539.9	+560407	6.11
921	25	Rho	Per	030510.6	+385025	3.39
922				030719.0	+640328	5.89
923				030520.8	+403457	6.05
924				030440.7	+155122	6.49
925	10	Rho3	Eri	030416.4	-073603	5.26
926				030438.1	+015149	6.05
927	52		Ari	030526.7	+251519	6.8 
928	52		Ari	030526.7	+251519	7.0 
929				030255.9	-465830	5.82
930				030803.9	+521248	6.31
931				030623.7	+131114	5.62
932				031156.3	+742337	4.87
933				030747.4	+471830	6.41
934		Mu	Hor	030336.8	-594416	5.11
935				030633.5	-060519	5.27
936	26	Bet	Per	030810.1	+405720	2.12
937		Iot	Per	030904.0	+493648	4.05
938	53		Ari	030725.7	+175248	6.11
939		The	Hyi	030215.4	-715409	5.53
940	54		Ari	030821.2	+184742	6.27
941	27	Kap	Per	030929.8	+445126	3.80
942				030838.7	+082815	6.28
943				030750.9	-274952	6.19
944	55		Ari	030936.7	+290437	5.72
945				031008.8	+274912	6.42
946				031027.0	+265347	6.02
947	28	Ome	Per	031117.4	+393642	4.63
948				031038.9	+115221	5.98
949				031226.4	+474333	6.33
950				031209.6	+422234	6.15
951	57	Del	Ari	031137.8	+194336	4.35
952				031121.9	+130252	6.12
953				031035.4	-234418	6.38
954	56		Ari	031214.2	+271525	5.79
955				031118.8	-034842	6.05
956				031324.0	+481037	5.90
957				031116.8	-160131	6.26
958				031226.4	+063939	5.56
959				030749.2	-691556	6.15
960				031027.4	-484403	6.12
961				032019.7	+774405	5.45
962	94		Cet	031246.4	-011146	5.06
963		Alp	For	031204.3	-285913	3.87
964				031548.0	+570827	5.79
965				033220.1	+845440	5.61
966				031456.7	+423014	6.07
967				031731.6	+653931	6.36
968				031225.8	-442511	5.93
969				031612.2	+505616	5.03
970				031301.5	-355638	6.27
971				031520.5	+303324	5.52
972	58	Zet	Ari	031454.1	+210240	4.89
973				031604.7	+452045	6.16
974				031338.0	-294815	6.16
975				031547.0	+325123	6.31
976				031601.9	+344119	6.25
977				031233.2	-571918	5.74
978				031635.1	+321101	6.06
979				031711.4	+402900	6.45
980				031500.2	-260601	6.25
981				030732.0	-785922	5.57
982	30		Per	031747.4	+440130	5.47
983				031600.9	-055507	6.17
984	13	Zet	Eri	031550.0	-084911	4.80
985				031959.4	+653908	4.84
986				031745.8	+391700	5.96
987	29		Per	031837.8	+501320	5.15
988	14		Eri	031635.7	-090916	6.14
989	31		Per	031907.6	+500542	5.03
990				031611.3	-304939	6.65
991				031843.8	+341322	4.82
992	95		Cet	031822.4	-005549	5.38
993				031802.8	-284749	5.91
994	15		Eri	031822.1	-223041	4.88
995	59		Ari	031955.8	+270416	5.90
996	96	Kap1	Cet	031921.7	+032213	4.83
997				031841.2	-183335	5.71
998				031726.6	-474506	5.85
999				032020.4	+290254	4.47
1000	60		Ari	032025.6	+253946	6.12
1001				032152.6	+490415	5.93
1002	32		Per	032126.5	+431946	4.95
1003	16	Tau4	Eri	031931.0	-214528	3.69
1004				031934.8	-240723	5.61
1005	61	Tau1	Ari	032113.6	+210849	5.28
1006		Zet1	Ret	031746.2	-623431	5.54
1007	97	Kap2	Cet	032106.8	+034032	5.69
1008				031955.7	-430411	4.27
1009				032440.5	+643510	5.23
1010		Zet2	Ret	031812.9	-623023	5.24
1011				032313.2	+491248	5.29
1012	62		Ari	032211.9	+273627	5.52
1013				032045.2	-263623	6.39
1014				031759.0	-665537	6.05
1015	63	Tau2	Ari	032245.2	+204431	5.09
1016				032124.0	-233807	5.52
1017	33	Alp	Per	032419.4	+495140	1.79
1018				032216.3	-253516	6.35
1019				032429.7	+333209	5.61
1020				032548.4	+535518	6.51
1021				032133.3	-474637	6.39
1022	64		Ari	032418.5	+244327	5.50
1023				032339.1	+045255	6.38
1024				032317.8	-074739	6.20
1025		Iot	Hyi	031557.6	-772318	5.52
1026				032509.4	+411526	6.51
1027	65		Ari	032426.1	+204813	6.08
1028				032410.1	+123746	6.04
1029				032557.4	+490715	6.09
1030	1	Omi	Tau	032448.8	+090144	3.60
1031				032344.6	-324226	6.50
1032				033019.5	+715150	6.32
1033				032823.6	+601520	6.49
1034				032803.1	+490346	4.98
1035				032904.1	+595625	4.21
1036				032703.2	+184523	6.57
1037				032852.4	+495054	5.58
1038	2	Xi	Tau	032710.2	+094358	3.74
1039				032718.7	+124406	6.28
1040				032954.9	+585243	4.54
1041				032820.8	+334827	5.61
1042		Chi1	For	032555.8	-355515	6.39
1043				033011.3	+592158	6.13
1044	34		Per	032922.1	+493032	4.67
1045				032622.5	-271903	5.93
1046				033000.2	+552707	5.09
1047				032926.2	+465616	6.24
1048	66		Ari	032826.6	+224815	6.03
1049				032611.7	-413813	6.32
1050				032801.0	-111712	5.73
1051				033037.0	+480613	5.82
1052	35	Sig	Per	033034.5	+475943	4.36
1053				032402.5	-693729	6.15
1054		Chi2	For	032733.4	-354053	5.71
1055				033512.4	+732049	6.57
1056				033129.4	+491235	6.29
1057	NO	VA 1	901			
1058		Chi3	For	032811.5	-355112	6.50
1059				033149.1	+492403	6.39
1060				032939.1	-064818	5.99
1061	4		Tau	033024.5	+112011	5.14
1062				032936.0	-124029	5.59
1063				033208.6	+480125	5.47
1064				032536.2	-692011	5.96
1065				033120.8	+273419	5.96
1066	5		Tau	033052.4	+125612	4.11
1067				033045.4	+061119	5.94
1068				033332.1	+584554	6.40
1069	36		Per	033226.3	+460325	5.31
1070	17		Eri	033037.1	-050431	4.73
1071				033341.2	+575208	6.37
1072				033239.1	+445120	6.41
1073				033339.0	+545829	5.98
1074				033240.0	+352742	5.90
1075				032955.0	-423803	5.78
1076				033013.6	-412212	6.12
1077				033500.8	+600228	6.46
1078				033335.1	+395358	5.81
1079	6		Tau	033236.0	+092225	5.77
1080				033924.8	+754423	6.27
1081				033037.0	-472231	5.99
1082				033153.9	-253651	6.38
1083		Kap	Ret	032922.7	-625615	4.72
1084	18	Eps	Eri	033255.8	-092730	3.73
1085				033408.3	+174958	6.17
1086	7		Tau	033426.6	+242752	5.92
1087	37	Psi	Per	033629.4	+481134	4.23
1088	19	Tau5	Eri	033347.3	-213758	4.27
1089				033449.2	+062504	6.49
1090				033234.8	-502243	5.68
1091				033437.4	-095207	6.25
1092				033051.6	-662923	5.83
1093				033356.8	-310449	6.20
1094				033819.7	+565558	6.30
1095				033433.5	-315229	6.40
1096				033251.6	-610101	6.41
1097				033800.2	+423459	6.42
1098				033557.7	-111137	5.57
1099				033647.3	+003516	5.71
1100	20		Eri	033617.4	-172801	5.23
1101	10		Tau	033652.4	+002406	4.28
1102				033747.8	+152551	6.39
1103				033900.1	+205457	6.50
1104				033424.7	-654552	6.75
1105				034209.3	+631300	5.10
1106				033705.7	-401629	4.58
1107				041001.5	+863734	5.86
1108				033829.2	-072330	5.85
1109				032958.8	-782107	5.70
1110				033925.7	+163212	6.16
1111	21		Eri	033901.1	-053734	5.96
1112				034242.7	+595810	5.76
1113				034107.9	+373448	5.57
1114		Tau	For	033847.7	-275635	6.01
1115	12		Tau	033951.1	+030325	5.57
1116				033938.3	-032335	6.23
1117				033925.4	-102614	6.19
1118	11		Tau	034046.3	+251946	6.11
1119				033959.5	-010714	6.12
1120				034011.4	-151336	6.33
1121	22		Eri	034038.3	-051238	5.53
1122	39	Del	Per	034255.5	+474715	3.01
1123	40		Per	034222.5	+335754	4.97
1124				034600.9	+671206	5.80
1125				034113.8	-114811	6.49
1126	13		Tau	034218.9	+194201	5.69
1127				034406.4	+483125	6.06
1128				034122.4	-193505	6.59
1129				034602.3	+632042	4.80
1130				034440.9	+460559	6.11
1131	38	Omi	Per	034419.1	+321718	3.83
1132	14		Tau	034347.2	+193954	6.14
1133				034431.4	+362736	5.59
1134		Del	For	034214.9	-315618	5.00
1135	41	Nu	Per	034511.6	+423443	3.77
1136	23	Del	Eri	034314.9	-094548	3.54
1137				034428.1	+205543	6.10
1138				034913.8	+705216	5.44
1139				034333.8	-102908	5.60
1140	16		Tau	034448.2	+241722	5.46
1141				034559.3	+454055	5.66
1142	17		Tau	034452.5	+240648	3.70
1143				034250.1	-371849	4.59
1144	18		Tau	034509.7	+245021	5.64
1145	19		Tau	034512.5	+242802	4.30
1146	24		Eri	034430.5	-010947	5.25
1147				034732.2	+555521	6.10
1148		Gam	Cam	035021.5	+711956	4.63
1149	20		Tau	034549.6	+242204	3.87
1150	25		Eri	034456.5	-001748	5.55
1151	21		Tau	034554.4	+243317	5.76
1152	22		Tau	034602.9	+243141	6.43
1153	29		Tau	034540.4	+060300	5.35
1154				033630.0	-781923	6.29
1155				034931.2	+653134	4.47
1156	23		Tau	034619.6	+235654	4.18
1157				034406.2	-403937	6.45
1158				034936.7	+631750	5.85
1159				034609.5	+064811	5.91
1160				034818.3	+504412	6.14
1161				034919.6	+570705	6.46
1162	26	Pi	Eri	034608.5	-120606	4.42
1163				034752.6	+333600	6.57
1164				034748.9	+321142	6.25
1165	25	Eta	Tau	034729.1	+240618	2.87
1166				035141.8	+683027	6.32
1167				034450.6	-480341	6.49
1168				034433.8	-541626	6.30
1169				034515.8	-472135	5.73
1170				034908.2	+435747	6.02
1171		Sig	For	034627.4	-292017	5.90
1172				034820.9	+232516	5.45
1173	27	Tau6	Eri	034650.9	-231459	4.23
1174	30		Tau	034816.3	+110836	5.07
1175		Bet	Ret	034412.0	-644825	3.85
1176				035004.5	+445804	5.66
1177	42		Per	034932.6	+330529	5.11
1178	27		Tau	034909.7	+240312	3.63
1179				034720.1	-295407	6.55
1180	28		Tau	034911.2	+240812	5.09
1181	28	Tau7	Eri	034739.6	-235229	5.24
1182				034838.9	+001340	5.91
1183				034943.5	+234242	6.17
1184		Rho	For	034756.0	-301004	5.54
1185				034955.0	+221440	6.07
1186				034749.6	-360621	6.21
1187				034835.8	-205411	5.81
1188				035018.9	+253446	5.26
1189				034835.4	-373720	5.40
1190				034835.9	-373714	4.73
1191				035153.7	+342133	5.77
1192				035343.3	+575830	5.80
1193				035136.6	+220154	6.83
1194				035115.8	+130245	6.30
1195				034927.3	-361201	4.17
1196				035630.2	+714918	6.34
1197				035204.3	+311006	6.25
1198				035338.7	+483902	5.76
1199	31		Tau	035200.2	+063205	5.67
1200				035037.6	-362531	6.86
1201				035310.0	+171937	5.97
1202	30		Eri	035241.6	-052141	5.48
1203	44	Zet	Per	035407.9	+315301	2.85
1204				035725.5	+630420	5.03
1205				035708.3	+610632	5.00
1206				035313.0	-182604	6.22
1207				035558.2	+475217	5.37
1208		Gam	Hyi	034714.3	-741420	3.24
1209				035523.0	+310245	6.10
1210	43		Per	035636.5	+504143	5.28
1211	32		Eri	035417.4	-025710	6.14
1212	32		Eri	035417.5	-025717	4.79
1213	33	Tau8	Eri	035342.6	-243645	4.65
1214				035338.9	-344356	5.11
1215				035628.7	+350452	5.49
1216				035333.3	-465337	5.93
1217				035516.3	-120557	6.00
1218	32		Tau	035652.1	+222841	5.63
1219				035423.2	-402126	5.71
1220	45	Eps	Per	035751.2	+400037	2.89
1221	33		Tau	035703.8	+231032	6.06
1222				035726.4	+242743	6.16
1223				035803.1	+344852	6.53
1224				035701.7	+060224	6.09
1225				035637.9	-094503	6.19
1226				035829.1	+385025	6.30
1227				035434.0	-524126	6.46
1228	46	Xi	Per	035857.9	+354728	4.04
1229				035940.0	+384914	6.38
1230				041002.8	+804155	5.10
1231	34	Gam	Eri	035801.8	-133031	2.95
1232				035852.3	-052812	5.83
1233				035940.7	+101951	6.37
1234				040114.7	+365924	6.41
1235				035930.1	-123427	5.60
1236				035604.0	-632749	6.14
1237				040036.9	+171748	6.32
1238				040048.8	+181138	5.89
1239	35	Lam	Tau	040040.8	+122925	3.47
1240	36	Tau9	Eri	035955.5	-240059	4.66
1241				040603.1	+684048	5.87
1242				040427.2	+590920	5.06
1243				040146.1	+095952	5.67
1244	35		Eri	040132.0	-013259	5.28
1245				035842.9	-570609	6.05
1246				040040.7	-302927	5.93
1247		Del	Ret	035844.7	-612401	4.56
1248				040639.0	+653115	6.17
1249				040236.7	-001608	5.38
1250				040015.7	-513353	6.51
1251	38	Nu	Tau	040309.4	+055921	3.91
1252	36		Tau	040421.7	+240621	5.47
1253	40		Tau	040344.6	+052608	5.33
1254				040356.6	+081150	5.46
1255				040636.6	+540031	6.31
1256	37		Tau	040441.7	+220455	4.36
1257				040409.9	+024937	5.36
1258				040324.7	-200839	6.46
1259				040336.8	-200930	7.01
1260				040751.1	+621948	6.99
1261	47	Lam	Per	040635.0	+502105	4.29
1262	39		Tau	040520.2	+220032	5.90
1263				040408.7	-163520	6.39
1264		Gam	Ret	040053.8	-620934	4.51
1265				040422.7	-124733	5.61
1266		Iot	Ret	040118.2	-610444	4.97
1267				040441.0	-202254	6.13
1268	41		Tau	040636.4	+273600	5.20
1269	42	Psi	Tau	040700.5	+290005	5.23
1270				040927.6	+595429	6.28
1271				034232.1	-851544	6.41
1272				040556.5	-085122	6.26
1273	48		Per	040839.7	+474245	4.04
1274				040546.7	-203044	6.34
1275				040537.4	-273906	5.59
1276				040922.4	+544944	6.18
1277	49		Per	040815.3	+374340	6.09
1278	50		Per	040836.6	+380223	5.51
1279				040742.0	+150946	6.01
1280				040759.4	+172023	5.89
1281				041344.9	+720735	6.03
1282				041251.6	+683006	6.32
1283	43	Ome1	Tau	040910.0	+193633	5.50
1284				040901.6	+132354	5.95
1285				040725.1	-425501	6.59
1286				041059.0	+333512	5.72
1287	44		Tau	041049.9	+262851	5.41
1288				040917.8	-162309	5.37
1289				042813.0	+834828	5.57
1290	37		Eri	041022.5	-065526	5.44
1291				040833.9	-455153	6.59
1292	45		Tau	041120.3	+053123	5.72
1293				041047.7	-084911	5.70
1294				040721.6	-641321	6.38
1295				041231.4	+171639	6.09
1296				041501.8	+572737	6.08
1297				041251.2	+222449	6.12
1298	38	Omi1	Eri	041151.9	-065015	4.04
1299				041045.8	-351626	6.44
1300				041136.2	-202122	5.79
1301				041359.6	+375801	6.45
1302		Del	Hor	041050.6	-415937	4.93
1303	51	Mu	Per	041453.9	+482434	4.14
1304				043000.1	+832026	5.46
1305				041653.6	+615101	5.70
1306	52		Per	041453.3	+402901	4.71
1307				041334.8	+101244	6.23
1308				041331.3	+085326	6.51
1309	46		Tau	041333.1	+074258	5.29
1310				041349.9	+124512	6.25
1311	47		Tau	041356.4	+091549	4.84
1312				041338.2	-010859	6.44
1313				041708.2	+575138	5.71
1314				041643.1	+533643	5.19
1315				041436.3	+100040	5.22
1316				041231.6	-442206	6.71
1317				042702.8	+804927	5.43
1318	39		Eri	041423.7	-101523	4.87
1319	48		Tau	041546.3	+152402	6.32
1320	49	Mu	Tau	041532.1	+085332	4.29
1321				041525.8	+061159	6.93
1322				041529.2	+061112	6.31
1323				041335.7	-402128	6.37
1324				041814.6	+501744	4.61
1325	40	Omi2	Eri	041516.3	-073910	4.43
1326		Alp	Hor	041400.1	-421740	3.86
1327				042040.3	+650826	5.27
1328				041808.2	+420828	6.22
1329	50	Ome2	Tau	041715.6	+203443	4.94
1330				041913.3	+500256	5.45
1331	51		Tau	041823.2	+213445	5.65
1332				041719.2	-062819	5.94
1333				042011.5	+505515	5.55
1334				041824.5	+092912	6.54
1335				042147.6	+604408	5.39
1336		Alp	Ret	041425.5	-622826	3.35
1337				042014.4	+414829	5.92
1338		Gam	Dor	041601.6	-512912	4.25
1339	53		Tau	041926.1	+210832	5.35
1340				041448.7	-621131	5.45
1341	56		Tau	041936.7	+214625	5.38
1342				042151.8	+563024	5.88
1343	54		Per	042024.6	+343400	4.93
1344				042010.0	+315712	6.16
1345				041815.9	-204256	6.00
1346	54	Gam	Tau	041947.6	+153739	3.65
1347	41	Ups4	Eri	041753.7	-334754	3.56
1348	52	Phi	Tau	042021.3	+272103	4.95
1349				041937.5	+100717	6.31
1350	53		Per	042133.2	+462956	4.85
1351	57		Tau	041957.7	+140207	5.59
1352				042257.9	+593659	6.19
1353				041837.4	-225813	6.07
1354				042025.1	+184433	6.12
1355		Eps	Ret	041628.9	-591807	4.44
1356	58		Tau	042036.3	+150543	5.26
1357				041621.1	-605655	6.37
1358				042052.8	+135151	6.17
1359				041903.0	-335418	6.37
1360				042041.2	+060751	5.77
1361				042049.0	+091332	6.53
1362				042038.7	-061444	6.27
1363				042042.8	-073533	5.85
1364				041916.6	-441605	5.34
1365				041840.0	-525136	6.09
1366				042127.1	-000553	5.86
1367				042039.0	-203823	5.38
1368	60		Tau	042203.5	+140438	5.72
1369	59	Chi	Tau	042234.9	+253745	5.37
1370				042222.8	+204917	5.91
1371				042335.9	+422541	6.23
1372		The	Ret	041740.2	-631520	5.87
1373	61	Del1	Tau	042256.1	+173233	3.76
1374				042131.3	-254342	6.01
1375				042332.4	+205856	5.99
1376	63		Tau	042325.0	+164638	5.64
1377	55		Per	042429.2	+340750	5.73
1378	62		Tau	042359.8	+241804	6.36
1379	56		Per	042437.4	+335735	5.76
1380	64	Del2	Tau	042405.8	+172638	4.80
1381	66		Tau	042351.9	+092739	5.12
1382				042700.9	+573507	6.32
1383	42	Xi	Eri	042340.8	-034444	5.17
1384				042305.7	-245332	5.83
1385				042457.1	+190230	5.98
1386				042307.7	-353242	6.39
1387	65	Kap1	Tau	042522.1	+221738	4.22
1388	67	Kap2	Tau	042525.0	+221159	5.28
1389	68	Del3	Tau	042529.4	+175541	4.29
1390				042606.3	+312620	5.28
1391	70		Tau	042537.3	+155627	6.46
1392	69	Ups	Tau	042618.5	+224849	4.28
1393	43		Eri	042402.2	-340101	3.96
1394	71		Tau	042620.8	+153706	4.49
1395		Eta	Ret	042153.3	-632311	5.24
1396	73	Pi	Tau	042636.4	+144249	4.69
1397				042621.1	+083525	6.06
1398				042456.4	-344528	6.55
1399	72		Tau	042717.5	+225947	5.53
1400				042700.7	+020446	6.23
1401				043330.7	+723143	5.94
1402				042728.8	+111245	5.88
1403				042800.8	+213712	5.72
1404				042519.1	-440939	6.39
1405				042412.2	-570417	6.29
1406				042851.9	+302141	6.40
1407	75		Tau	042826.4	+162135	4.97
1408	76		Tau	042823.4	+144427	5.90
1409	74	Eps	Tau	042837.0	+191049	3.53
1410				042657.0	-240453	6.11
1411	77	The1	Tau	042834.5	+155744	3.84
1412	78	The2	Tau	042839.7	+155215	3.40
1413				042803.6	+015131	6.15
1414	79		Tau	042850.2	+130251	5.03
1415				042832.1	+012251	5.55
1416				042505.3	-611418	5.94
1417	1		Cam	043201.8	+535439	5.77
